FID,id,vejkode,vejnavn,park_id,bydel,udstyr_type,tilstand,placering,foto,driftsopgave,fjernet,bemaerkning,reg_metode,reg_dato,rettet_dato,wkb_geometry
baenk_stol_bord.1,3980,1064,Carl Jacobsens Vej,,Valby,"Københavnerbænk, enkelt",Defekt/ødelagt,Gade,,Ikke registreret,Ikke registreret,,Indmålt med GPS,2001-08-16T00:00:00,2010-12-20T00:00:00,MULTIPOINT ((12.518827055027426 55.65334880485503))
baenk_stol_bord.2,4549,1109,Christian IV's Bro,0,Indre By,Granitbænk,Rimelig/god stand,Gade,,Ikke registreret,Ikke fjernet,,Indmålt med GPS,,2010-08-10T00:00:00,MULTIPOINT ((12.587356763419129 55.67524611458086))
baenk_stol_bord.3,4548,1109,Christian IV's Bro,0,Indre By,Granitbænk,Rimelig/god stand,Gade,,Ikke registreret,Ikke fjernet,,Indmålt med GPS,,2010-08-10T00:00:00,MULTIPOINT ((12.587363796674031 55.675279660482104))
baenk_stol_bord.4,4571,1132,Christians Brygge,0,Indre By,Plint,Rimelig/god stand,Andet,,Ikke registreret,Ikke fjernet,Tøjhusmuseet ejer pladsen,Indmålt med GPS,,2010-08-09T00:00:00,MULTIPOINT ((12.580048745480086 55.67286666850368))
baenk_stol_bord.5,4570,1132,Christians Brygge,0,Indre By,Plint,Rimelig/god stand,Andet,,Ikke registreret,Ikke fjernet,Tøjhusmuseet ejer pladsen,Indmålt med GPS,,2010-08-09T00:00:00,MULTIPOINT ((12.580109209970157 55.67289134790639))
baenk_stol_bord.6,4569,1132,Christians Brygge,0,Indre By,Plint,Rimelig/god stand,Andet,,Ikke registreret,Ikke fjernet,Tøjhusmuseet ejer pladsen,Indmålt med GPS,,2010-08-09T00:00:00,MULTIPOINT ((12.580186970037795 55.67292624924976))
baenk_stol_bord.7,4568,1132,Christians Brygge,0,Indre By,Plint,Rimelig/god stand,Andet,,Ikke registreret,Ikke fjernet,Tøjhusmuseet ejer pladsen,Indmålt med GPS,,2010-08-09T00:00:00,MULTIPOINT ((12.580257010737967 55.67296561544304))
baenk_stol_bord.8,4567,1132,Christians Brygge,0,Indre By,Plint,Rimelig/god stand,Andet,,Ikke registreret,Ikke fjernet,Tøjhusmuseet ejer pladsen,Indmålt med GPS,,2010-08-09T00:00:00,MULTIPOINT ((12.580340878199326 55.67299414537514))
baenk_stol_bord.9,4566,1132,Christians Brygge,0,Indre By,Plint,Rimelig/god stand,Andet,,Ikke registreret,Ikke fjernet,Tøjhusmuseet ejer pladsen,Indmålt med GPS,,2010-08-09T00:00:00,MULTIPOINT ((12.580412907848679 55.673029878584266))
baenk_stol_bord.10,4565,1132,Christians Brygge,0,Indre By,Plint,Rimelig/god stand,Andet,,Ikke registreret,Ikke fjernet,Tøjhusmuseet ejer pladsen,Indmålt med GPS,,2010-08-09T00:00:00,MULTIPOINT ((12.580489885490476 55.67306035420426))
baenk_stol_bord.11,4564,1132,Christians Brygge,0,Indre By,Plint,Rimelig/god stand,Andet,,Ikke registreret,Ikke fjernet,Tøjhusmuseet ejer pladsen,Indmålt med GPS,,2010-08-09T00:00:00,MULTIPOINT ((12.580561542354424 55.673092007772546))
baenk_stol_bord.12,4563,1132,Christians Brygge,0,Indre By,Plint,Rimelig/god stand,Andet,,Ikke registreret,Ikke fjernet,Tøjhusmuseet ejer pladsen,Indmålt med GPS,,2010-08-09T00:00:00,MULTIPOINT ((12.580636667698506 55.673124471187755))
baenk_stol_bord.13,4562,1132,Christians Brygge,0,Indre By,Plint,Rimelig/god stand,Andet,,Ikke registreret,Ikke fjernet,Tøjhusmuseet ejer pladsen,Indmålt med GPS,,2010-08-09T00:00:00,MULTIPOINT ((12.58071338497398 55.6731549052231))
baenk_stol_bord.14,4561,1132,Christians Brygge,0,Indre By,Plint,Rimelig/god stand,Andet,,Ikke registreret,Ikke fjernet,Tøjhusmuseet ejer pladsen,Indmålt med GPS,,2010-08-09T00:00:00,MULTIPOINT ((12.580790972201346 55.673189092720975))
baenk_stol_bord.15,4560,1132,Christians Brygge,0,Indre By,Plint,Rimelig/god stand,Andet,,Ikke registreret,Ikke registreret,Tøjhusmuseet ejer pladsen,Indmålt med GPS,,2010-08-09T00:00:00,MULTIPOINT ((12.580871902140693 55.67322166800096))
baenk_stol_bord.16,4559,1132,Christians Brygge,0,Indre By,Plint,Rimelig/god stand,Andet,,Ikke registreret,Ikke fjernet,Tøjhusmuseet ejer pladsen,Indmålt med GPS,,2010-08-09T00:00:00,MULTIPOINT ((12.580947458912298 55.67325560364401))
baenk_stol_bord.17,4556,1132,Christians Brygge,0,Indre By,Plint,Rimelig/god stand,Andet,,Ikke registreret,Ikke fjernet,Tøjhusmuseet ejer pladsen,Indmålt med GPS,,2010-08-09T00:00:00,MULTIPOINT ((12.58117804794556 55.67335817543873))
baenk_stol_bord.18,4558,1132,Christians Brygge,0,Indre By,Plint,Rimelig/god stand,Andet,,Ikke registreret,Ikke fjernet,Tøjhusmuseet ejer pladsen,Indmålt med GPS,,2010-08-09T00:00:00,MULTIPOINT ((12.581024678665841 55.67329238195401))
baenk_stol_bord.19,4557,1132,Christians Brygge,0,Indre By,Plint,Rimelig/god stand,Andet,,Ikke registreret,Ikke fjernet,Tøjhusmuseet ejer pladsen,Indmålt med GPS,,2010-08-09T00:00:00,MULTIPOINT ((12.581093506624427 55.67332603645003))
baenk_stol_bord.20,4555,1132,Christians Brygge,0,Indre By,Plint,Rimelig/god stand,Andet,,Ikke registreret,Ikke fjernet,Tøjhusmuseet ejer pladsen,Indmålt med GPS,,2010-08-09T00:00:00,MULTIPOINT ((12.581239690700635 55.673384098175156))
